,Rank,Name,Gender,Age,Finish,Pace,Strava Activity,athlet_url,race_url,Watch,Shoes,Distance
2,2,Zachary Hine,M,,2:21:39,3:21/km,Morning Run,/athletes/3271622,/activities/566216224,Garmin Forerunner 220,—,42.35
3,3,Clint W.,M,35-44,2:24:54,3:26/km,That was tough! Boston is great but painful,/athletes/4341277,/activities/549313818,Garmin Forerunner 620,Nike Vomero(879.6 km),42.3
4,4,Jorge Maravilla,M,35-44,2:28:19,3:31/km,120th Boston Marathon.,/athletes/615060,/activities/549588713,Suunto Ambit3 Peak,—,42.47
5,5,Peter Bromka,M,35-44,2:29:33,3:33/km,"Boston Marathon 2016. Well, that was awes...",/athletes/77908,/activities/549448434,Garmin Forerunner 235,"Nike Shoes(18,119.4 km)",42.38
6,6,Zachary Ornelas,M,25-34,2:29:41,3:33/km,Boston 2016! 9th American :),/athletes/7038362,/activities/565142998,Garmin Forerunner 620,"Skechers Go Ultra 2(1,851.9 km)",42.67
7,7,Rob Bond,M,25-34,2:30:27,3:34/km,"The Boston Marathon: 35th overall, 11th A...",/athletes/8004836,/activities/549338107,Garmin Forerunner 235,New Balance 1400(725.8 km),42.31
8,8,Patrick Reaves,M,25-34,2:31:14,3:35/km,2016 Boston Marathon - 38th place,/athletes/2469040,/activities/549378116,Garmin Forerunner 235,Nike Boston 2016 Streak 6 Wear Testers(293.0 km),42.33
9,9,michael wardian,M,45-54,2:31:40,3:36/km,Lunch Run,/athletes/1108954,/activities/550142617,Suunto Ambit3 Peak,—,42.48
10,10,Curly Guillen,M,35-44,2:32:45,3:37/km,2016 Boston Marathon - rough day at the o...,/athletes/1367309,/activities/549570963,Garmin Forerunner 220,Nike Lunaracer+ 3(323.4 km),42.42
11,11,Sam  K.,M,35-44,2:33:03,3:38/km,Boston Marathon amazing day :),/athletes/1179546,/activities/549420027,Garmin Forerunner 620,"Nike Lunar Tempo(17,445.1 km)",42.46
12,12,Stephen VanGampleare,M,25-34,2:33:19,3:38/km,Boston Marathon,/athletes/2167255,/activities/549428535,Garmin Forerunner 405,Nike Air Zoom Streak 5 CP(423.5 km),42.35
13,13,Jono Jackson,M,25-34,2:34:12,3:39/km,Morning Run,/athletes/5628909,/activities/549444625,Garmin Forerunner 620,—,42.37
14,14,Kyle L.,M,25-34,2:34:15,3:39/km,2016 Boston Marathon,/athletes/5940600,/activities/550706473,Suunto Ambit,Nike LunarTempo(185.8 km),42.77
15,15,Jonathan Briskman,M,,2:34:47,3:40/km,Boston Marathon! Almost as fast as last y...,/athletes/5779109,/activities/549616803,Garmin Forerunner 225,—,42.23
16,16,Javier Madrid,M,25-34,2:34:56,3:40/km,2016 Boston Marathon (Blowing up at its f...,/athletes/3993137,/activities/550611576,Garmin Forerunner 220,—,42.39
17,17,Ryan Kaiser,M,35-44,2:35:00,3:40/km,Boston Marathon - where 30-somethings go ...,/athletes/2630735,/activities/549377076,Garmin Forerunner 620,—,42.37
18,18,Damon Valenzona,M,25-34,2:35:20,3:41/km,2016 Boston Marathon,/athletes/982789,/activities/549328263,Garmin Forerunner 620,—,42.35
19,19,Russell S.,M,45-54,2:36:04,3:42/km,Carrera matutina,/athletes/7394050,/activities/549321392,Garmin Forerunner 620,—,42.4
20,20,Miles Aitken,M,35-44,2:36:18,3:42/km,Boston Marathon,/athletes/1927713,/activities/554835568,Garmin Forerunner 305,adidas Response Boost TechFit (2nd pair)(364.5 km),42.48
21,21,Chai E.,M,35-44,2:37:01,3:43/km,2016 Boston Marathon,/athletes/384435,/activities/549470811,Garmin Forerunner 630,adidas adios boost 3(236.9 km),42.32
22,22,Wayne Blas,M,35-44,2:37:23,3:44/km,"Boston Marathon; 2:37:23, 90th Overall; t...",/athletes/7761936,/activities/549522899,Garmin Forerunner 630,Saucony Type A6(179.0 km),42.34
23,23,Ian N.,M,,2:37:26,3:44/km,120th Boston Marathon,/athletes/7733247,/activities/549620316,Garmin Forerunner 410,adidas Adios Boost 2(719.2 km),42.35
24,24,Paddy O'Leary,M,25-34,2:37:56,3:45/km,Boston 2016: 2.37.56 and 103rd,/athletes/6190674,/activities/549426209,Suunto Ambit,HOKA ONE ONE Clayton(822.9 km),42.54
25,25,Tom Ritchie,M,,2:37:57,3:45/km,Boston Marathon,/athletes/10141125,/activities/549631880,Garmin Forerunner 220,—,42.37
26,26,Evan Williams,M,25-34,2:38:23,3:45/km,Boston Marathon. Type 2 fun. -PR!,/athletes/7213744,/activities/549880142,Suunto GPS Track POD,Saucony Type A6(438.4 km),42.48
27,27,Jaiden Brandt,M,25-34,2:38:27,3:45/km,Boston Marathon (when you hit the wall),/athletes/12777735,/activities/550422671,Garmin Forerunner 620,—,42.4
28,28,facundo chernikoff,M,25-34,2:38:30,3:45/km,120th Boston Marathon,/athletes/1737156,/activities/551731188,Garmin fēnix 2,—,43.07
29,29,Dave Metzger,M,,2:38:34,3:45/km,Boston Marathon,/athletes/13847312,/activities/726551195,Garmin Forerunner 10,—,42.49
30,30,Dustin Whitlow,M,25-34,2:38:45,3:46/km,Boston Marathon - 103rd Place,/athletes/242923,/activities/550073999,Garmin Forerunner 230,adidas adios boost 3(55.4 km),42.33
31,31,Chris Harmon,M,,2:38:47,3:46/km,Morning Run,/athletes/12054220,/activities/549544723,Fitbit Surge,—,42.22
32,32,Sean H.,M,25-34,2:38:51,3:46/km,120th Boston Marathon,/athletes/1540463,/activities/549734969,Garmin Forerunner 405,adidas Glide Boost (White)(811.1 km),42.3
33,33,Chris Mocko,M,25-34,2:39:14,3:46/km,Oopsie daisy. The Boston 2016 Edition.,/athletes/205401,/activities/549330636,Garmin Forerunner 220,—,42.31
34,34,Bronson Venable,M,25-34,2:39:18,3:47/km,Boston Marathon,/athletes/13447751,/activities/557710949,,—,42.35
35,35,Woody Snoberger,M,25-34,2:39:49,3:47/km,Morning Run,/athletes/7089325,/activities/560751640,Garmin Forerunner 620,—,42.32
36,36,Miro Novak,M,45-54,2:39:51,3:47/km,Boston STRONG,/athletes/1543145,/activities/549337501,Garmin Forerunner 920XT,"Salomon S-Lab Sense3 ultra(4,813.8 km)",42.39
37,37,Michael Barrows,M,25-34,2:39:52,3:47/km,Sprung an oil leak...,/athletes/5722728,/activities/549404286,Garmin Vívoactive,ASICS DS trainer 21(511.4 km),42.38
38,38,Ken P.,M,,2:39:52,3:47/km,Morning Run,/athletes/3344440,/activities/551934326,Garmin Forerunner 405,—,42.39
39,39,Neil Pearson,M,45-54,2:39:56,3:47/km,Morning Run,/athletes/1804886,/activities/589441245,Garmin Forerunner 620,—,42.5
40,40,Josh Maisey,M,25-34,2:40:01,3:48/km,Boston marathon,/athletes/2868531,/activities/549456517,Garmin Forerunner 620,—,42.41
41,41,Derek Zelazny,M,,2:40:34,3:48/km,Morning Run,/athletes/10385997,/activities/549752458,Garmin Forerunner 230,—,42.35
42,42,Mario Segura,M,25-34,2:40:50,3:49/km,Boston Marathon -Official Time 2:40:50,/athletes/3351174,/activities/549508965,Garmin Forerunner 920XT,New Balance RC 1400 v3(432.3 km),42.48
43,43,Jon Kuehler,M,,2:40:54,3:49/km,"Boston Marathon 2016; Stomach cramps, win...",/athletes/2469141,/activities/550042056,Garmin fēnix 3,Under Armour Gemini(222.9 km),42.61
44,44,Mark Jones,M,25-34,2:41:05,3:49/km,Morning Run,/athletes/7135650,/activities/550073532,Garmin Forerunner 220,—,41.82
45,45,Justin King,M,35-44,2:41:08,3:49/km,2016 Boston Marathon,/athletes/9765751,/activities/549559798,Garmin Forerunner 305,Saucony Virrata 2(374.2 km),42.44
46,46,Brad A.,M,25-34,2:41:12,3:49/km,Boston Marathon (Heart broken on heartbre...,/athletes/5363105,/activities/551370594,Garmin Forerunner 620,"Brooks Adrenaline ASR(5,686.4 km)",45.09
47,47,Tomi Halme,M,25-34,2:41:13,3:49/km,Morning Run,/athletes/6186207,/activities/555433979,TomTom,—,42.3
48,48,Jacob Kirk,M,,2:41:31,3:50/km,Boston Marathon,/athletes/14219920,/activities/549574638,Garmin Forerunner 225,—,42.4
49,49,Will Guzick,M,,2:41:32,3:50/km,2016 Boston Marathon,/athletes/14804595,/activities/568814868,Garmin Forerunner 220,—,42.45
50,50,Bryan S.,M,35-44,2:41:53,3:50/km,Morning Run,/athletes/6198190,/activities/551232135,Garmin Forerunner 235,"Salming 2016 RACE(12,890.2 km)",41.89
51,51,Mathieu Girard,M,35-44,2:42:03,3:50/km,Premier tempo run en vue de Boston 2017,/athletes/2033773,/activities/549789176,Garmin Forerunner 910XT,Mizuno Wave Rider 18(829.6 km),42.46
52,52,Douglas Pierce,M,35-44,2:42:06,3:51/km,Boston,/athletes/8975827,/activities/552266585,Garmin Forerunner 620,—,42.5
53,53,Simo L.,M,25-34,2:42:11,3:51/km,Boston Marathon,/athletes/5535535,/activities/549355138,Garmin Forerunner 235,Saucony Omni 14(571.5 km),42.54
54,54,Mike Anis,M,35-44,2:42:18,3:51/km,Boston marathon 2016,/athletes/9591496,/activities/549510233,TomTom,—,42.38
